date,text,Pump,Exchange,Coin,Notes
2017-08-09T15:40:43,,,,,
2019-05-09T15:06:01,"[{'type': 'bold', 'text': 'Are you ready for our next Binance pump ?'}, '\n', {'type': 'italic', 'text': 'anonymous poll'}, ""\n\nYeah – 1K\n👍👍👍👍👍👍👍 50%\n\nNo – 1K\n👍👍👍👍👍 38%\n\nI haven't spare BTC – 204\n👍 7%\n\nI am so excited – 133\n👍 5%\n\n👥 2918 people voted so far.""]",,,,
2019-05-09T15:14:24,"Here we can see, how Bitmex players are pushing/forcing the market up. Confirming my theory i posted in my last analysis, that there are some people who don't care about anything or anyone expect pushing this market up. Forcing it up to trigger short stops that fuel an even bigger move up. So there is no way of saying where this might end. So far following the previous rallies from 2018",,,,
2019-05-09T19:57:55,"[{'type': 'hashtag', 'text': '#FET'}, ' DROP AROUND 100% SO IF YOU GUYS HAVE FUND THAN ACCUMULATE AROUND 1400-1500 AND SELL ', {'type': 'mention', 'text': '@1700'}, '-1900']",,,,
2019-05-10T09:54:48,,,,,
2019-05-10T09:54:54,"[""Hmmm, seems they just don't want to let it drop. The longer this takes, bigger the odds for another push up. It's just not use fighting it. They destroyed bears many times the past weeks, getting all the magical TA tools out of the closet that say why it should drop. Well, they clearly don't really care, just does whatever it wants.\xa0\n\nAnyway, think if they can hold it above the 6100ish, likely to see another push. I think at least a temp high is closing in, but could also be at "", {'type': 'phone', 'text': '6250/6350'}, '. On the right we can see, how the past few hours has possibly been turned into a bul flag.\xa0\n\nif the 6080/60 breaks with a quick candle, so a fast drop, than it will become more likely to see an even bigger drop. Maybe even 5700 up to 5900.\xa0']",,,,
2019-05-10T13:29:36,"['Binance Security Incident Update:\n✔️Significant changes to the API, 2FA, and withdrawal validation areas.\n✔️Improving its risk management, user behavior analysis, and KYC procedures.\n✔️More innovative ways to fight phishing.\n✔️Adding hardware device support.\n\nCZ apologizes for using the word ""reorg"".\n\nTentatively, deposits and withdrawals will be resumed early next week.\n\n', {'type': 'link', 'text': 'https://www.binance.com/en/blog/333497959022997504/Binance-Security-Incident-Update'}, '']",,,,
2019-05-10T15:21:41,"['Update on ', {'type': 'hashtag', 'text': '#BTC'}]",,,,
2019-05-10T15:53:46,"['NEW BITCOIN-ETF FILING WITH THE SEC THROWS ETHEREUM INTO THE MIX\n\n', {'type': 'link', 'text': 'https://bitcoinist.com/new-bitcoin-etf-filing-with-the-sec-throws-ethereum-into-the-mix/'}]",,,,
2019-05-10T16:37:28,"[{'type': 'bold', 'text': 'Which Exchange do you prefer to trade ?'}, '\n', {'type': 'italic', 'text': 'anonymous poll'}, '\n\nBinance – 3K\n👍👍👍👍👍👍👍 88%\n\nBitmex – 187\n▫️ 6%\n\nBittrex – 183\n▫️ 6%\n\n👥 3152 people voted so far.']",,,,
2019-05-11T15:51:35,"[{'type': 'hashtag', 'text': '#Btc_Update'}]",,,,
2019-05-13T09:42:58,"[{'type': 'link', 'text': 'https://twitter.com/imnotthewolf/status/1127696721230934019?s=21'}]",,,,
2019-05-13T13:59:57,We share this news earlier and now everyone share this news 😂,,,,
